init_type,sel_type,cross_type,mut_type,term_type,fitness_func,avg_fit_score,std_fit_score,max_fit_score,min_fit_score,avg_gens
gaussian,tournament,two_point,gaussian,convergence,spherical,0.011606461110704411,0.01596137114730389,0.08185414510381185,1.540337751505695e-05,17.01
gaussian,rws,binary_mask,gaussian,convergence,spherical,0.012754106855691108,0.019930932036162533,0.14371877015998621,8.204466755224215e-05,17.06
gaussian,rws,two_point,gaussian,generations,booth,0.01311303377093217,0.018409440686685496,0.09201601620250757,1.5884750606398182e-05,50.0
gaussian,tournament,2_parent_average,gaussian,generations,booth,0.013244826081787626,0.022066608782316043,0.11547830287512909,3.6793641083142956e-09,50.0
uniform,tournament,2_parent_average,gaussian,generations,himmelblau,0.014642855168591706,0.024909148868958907,0.16786717166166792,6.457643248089757e-09,50.0
uniform,tournament,two_point,gaussian,convergence,spherical,0.014775079949228775,0.01831271460595266,0.100319499309336,6.474864908524294e-06,17.97
gaussian,tournament,two_point,uniform,convergence,spherical,0.014908111851784152,0.019452736557509693,0.10692738291204543,9.148801021054726e-06,17.0
uniform,rws,2_parent_average,gaussian,generations,himmelblau,0.0149617541772407,0.032122276804831575,0.24144723031360898,9.37858470939245e-07,50.0
gaussian,rws,two_point,gaussian,convergence,spherical,0.015034847640596679,0.021082272090518415,0.13190008374630197,6.131827260553561e-05,17.01
uniform,rws,centroid,gaussian,generations,himmelblau,0.016145068893132213,0.03130959083037377,0.25030270351750256,3.195314304674147e-08,50.0
gaussian,tournament,binary_mask,uniform,convergence,spherical,0.016356550585225674,0.020209144294600835,0.11191812836007331,2.8608609851827517e-05,17.0
uniform,rws,binary_mask,gaussian,convergence,spherical,0.01694430573878929,0.02534294342230222,0.1913742056769159,4.7202701893610195e-05,18.63
gaussian,tournament,2_parent_average,gaussian,generations,himmelblau,0.017524891712324096,0.046466453551891176,0.3341320591049654,2.1669436041436966e-07,50.0
uniform,tournament,2_parent_average,gaussian,generations,booth,0.01815264222262955,0.0532214243123577,0.4979951002751245,3.1491205168715535e-07,50.0
uniform,tournament,centroid,gaussian,generations,himmelblau,0.018153777322655405,0.0339317465078974,0.21221726124041068,6.2589204702285086e-06,50.0
uniform,rws,two_point,gaussian,convergence,spherical,0.018527297046512466,0.0212657460014096,0.10634978373736265,7.100346372011684e-05,18.28
uniform,tournament,two_point,uniform,convergence,spherical,0.01871051180204315,0.025221791690000016,0.17198292124823178,7.135617312314543e-05,17.59
gaussian,rws,binary_mask,gaussian,generations,booth,0.01982863261604663,0.027885473538488564,0.1320675722828618,1.3284476985374013e-05,50.0
gaussian,tournament,binary_mask,gaussian,generations,booth,0.02070525327072242,0.0256325383864636,0.14894612883011935,7.5906272892316305e-06,50.0
gaussian,rws,2_parent_average,gaussian,generations,booth,0.020882763108682968,0.09496894135478397,0.9349742997058529,1.2424878309089513e-06,50.0
gaussian,rws,2_parent_average,gaussian,generations,himmelblau,0.021018298622720387,0.040983194613535716,0.22875622215617236,1.766333972894652e-07,50.0
gaussian,tournament,2_parent_average,uniform,generations,booth,0.022059613557436467,0.04107949284844554,0.24784432983441487,3.6330881660444216e-07,50.0
gaussian,rws,centroid,gaussian,generations,booth,0.022188674776536802,0.04877739602404547,0.36375466583500626,6.995747464598754e-06,50.0
uniform,rws,2_parent_average,uniform,generations,himmelblau,0.022343745155351303,0.05082049020627756,0.4042556228416272,1.0167503751528423e-05,50.0
gaussian,rws,binary_mask,uniform,convergence,spherical,0.022366038675173804,0.027894252881028238,0.15543349840308865,5.580049971351124e-05,17.07
uniform,rws,centroid,uniform,generations,booth,0.022490082823822987,0.03526062942046901,0.23058426242731378,2.423407069072679e-06,50.0
uniform,tournament,binary_mask,uniform,convergence,spherical,0.022788884807781237,0.023901321511613022,0.13778895971768795,3.158969482974235e-05,17.86
gaussian,tournament,centroid,gaussian,generations,booth,0.022893968640438724,0.0426976599010537,0.1952630837612278,4.0975791122331466e-07,50.0
gaussian,rws,centroid,uniform,generations,booth,0.02301852214861588,0.0591151208541742,0.5005231241988093,5.3232901669249895e-11,50.0
gaussian,rws,two_point,uniform,convergence,spherical,0.02388402151681834,0.03109770689201755,0.1715533921847489,0.0003439900727946849,17.0
gaussian,tournament,two_point,gaussian,generations,booth,0.02507192632976433,0.04469081543825463,0.3106517064516961,8.971702816151265e-05,50.0
uniform,rws,2_parent_average,gaussian,generations,booth,0.025224689924643277,0.10200121122087488,0.9339351384926087,1.4401128419464692e-08,50.0
gaussian,rws,centroid,gaussian,generations,himmelblau,0.025234740838161008,0.04616816887150408,0.23574547621489628,2.4133204390279306e-05,50.0
uniform,rws,two_point,uniform,convergence,spherical,0.026305395594020876,0.027839867740334482,0.12558709881473148,0.0003042435262590537,17.88
gaussian,rws,two_point,gaussian,generations,himmelblau,0.02701005076291479,0.04050103647349414,0.28019553555516025,4.718590670527519e-05,50.0
gaussian,tournament,centroid,gaussian,generations,himmelblau,0.02756173791236981,0.047006863998177065,0.2595144650926601,2.9581300785618007e-06,50.0
uniform,rws,binary_mask,gaussian,generations,himmelblau,0.028659956646016792,0.03614187008330889,0.1519255328864274,0.0001011613181444562,50.0
gaussian,tournament,binary_mask,gaussian,generations,himmelblau,0.02921521439020894,0.03888460367734282,0.1951278114199374,6.566007690518283e-05,50.0
gaussian,rws,2_parent_average,uniform,generations,booth,0.030073297105483125,0.05798644620265342,0.40361396426974094,2.991902368382752e-08,50.0
uniform,rws,two_point,gaussian,generations,himmelblau,0.030129437769694695,0.044743825859772705,0.2902270327570425,3.7726932008811725e-05,50.0
gaussian,rws,binary_mask,gaussian,generations,himmelblau,0.030473782014715588,0.04441846517853838,0.3087723263507306,0.00010439765932432053,50.0
gaussian,tournament,centroid,uniform,generations,booth,0.030633154155658565,0.06101703398122993,0.4693443413431064,9.70005483522013e-07,50.0
gaussian,tournament,2_parent_average,uniform,generations,himmelblau,0.031315897982573206,0.05247874602664286,0.37407349670121604,7.848379298617275e-06,50.0
gaussian,rws,centroid,uniform,generations,himmelblau,0.03180253678106431,0.055039589455661356,0.42481254375340627,9.707549010718314e-08,50.0
uniform,tournament,centroid,gaussian,generations,booth,0.03353353138310356,0.0799899221227637,0.6141064866328708,1.7621152317189775e-07,50.0
uniform,rws,two_point,gaussian,generations,booth,0.03434533098541372,0.07867276050890512,0.5540513691944655,6.388897495411836e-05,50.0
uniform,rws,centroid,uniform,generations,himmelblau,0.03453354477611353,0.05893827323738818,0.4438632216338429,2.66913643576302e-06,50.0
uniform,rws,binary_mask,uniform,convergence,spherical,0.034983559859305374,0.0372490869053518,0.16317308536547745,0.0003300366663104766,18.0
uniform,tournament,two_point,gaussian,generations,himmelblau,0.03515990377607595,0.051881868854777385,0.26329645333382984,0.00016745677887516355,50.0
uniform,tournament,2_parent_average,uniform,generations,himmelblau,0.036250385502506435,0.08772114887793953,0.7164634095797067,1.499334445482845e-05,50.0
gaussian,tournament,2_parent_average,swap,convergence,spherical,0.03644617241406399,0.10339005844440011,0.6381442819189221,1.4258039111778361e-09,21.87
gaussian,tournament,two_point,gaussian,generations,himmelblau,0.036540134248283784,0.05801334204049659,0.4192633084591232,0.000344824065452372,50.0
uniform,tournament,centroid,uniform,generations,himmelblau,0.03688037335382201,0.06528700904525654,0.38495752485044504,2.3834274185719807e-06,50.0
gaussian,rws,2_parent_average,uniform,generations,himmelblau,0.03707280580024643,0.07578611319744058,0.3866502838168664,3.537609470579745e-06,50.0
uniform,rws,2_parent_average,uniform,generations,booth,0.038018008728075606,0.18149909245355209,1.80344615208491,1.630556152231165e-05,50.0
gaussian,tournament,centroid,uniform,generations,himmelblau,0.03822246201216259,0.06723022989936885,0.3410951160621958,2.561283917084407e-07,50.0
