init_type,sel_type,cross_type,mut_type,term_type,fitness_func,avg_fit_score,std_fit_score,max_fit_score,min_fit_score,avg_gens
uniform,tournament,two_point,gaussian,generations,spherical,0.003096664862603906,0.004450545506408368,0.020366246757856997,7.921497388801976e-06,30.0
uniform,tournament,binary_mask,gaussian,generations,spherical,0.0039025455203218935,0.004697668093135336,0.025653205982528092,1.1182355108204725e-05,30.0
gaussian,rws,centroid,gaussian,convergence,spherical,0.00407462057519438,0.007504351448655453,0.04741595429136494,3.771835320630707e-07,17.0
uniform,rws,binary_mask,gaussian,generations,spherical,0.004534627645527035,0.006287199635483295,0.033788048963806605,7.588380178124949e-06,30.0
uniform,tournament,2_parent_average,gaussian,convergence,spherical,0.0046854169047923985,0.009471346404387737,0.06409816636510146,2.283636887312729e-07,17.15
gaussian,tournament,binary_mask,uniform,generations,spherical,0.004712751409601196,0.008063697849234105,0.05636544197110631,2.058258739141252e-05,30.0
gaussian,rws,2_parent_average,uniform,convergence,spherical,0.004861897024372341,0.009873851594025172,0.05759852877204792,1.8255890335425245e-07,17.0
uniform,rws,two_point,gaussian,generations,spherical,0.005098074895770655,0.006256784854843615,0.03877810276676019,3.131383301378752e-05,30.0
gaussian,tournament,two_point,uniform,generations,spherical,0.005283732350165486,0.009323699439788856,0.08249322397874653,4.112114249645439e-06,30.0
gaussian,tournament,centroid,uniform,convergence,spherical,0.005432742296438531,0.010766942840723258,0.08142754634190638,2.54552623335349e-08,17.0
gaussian,tournament,2_parent_average,uniform,convergence,spherical,0.005915358931597704,0.011419648186187816,0.05871094540725853,6.665550257939922e-07,17.0
gaussian,rws,centroid,uniform,convergence,spherical,0.006159681673379893,0.010377246115276965,0.07219187569357753,2.8557994347706785e-06,17.0
gaussian,rws,two_point,uniform,generations,spherical,0.006226787442853635,0.00827272365464982,0.044740191617407346,8.294255656006213e-06,30.0
uniform,rws,2_parent_average,gaussian,convergence,spherical,0.00636615131053663,0.011191088347706575,0.07002097796726937,3.4026885008892043e-07,17.22
uniform,tournament,binary_mask,uniform,generations,spherical,0.006430798421106882,0.009660312971789,0.06796601861120258,1.704220603531943e-05,30.0
uniform,tournament,centroid,gaussian,convergence,spherical,0.006495410228877915,0.01209258796346256,0.07495979534778029,1.1176118609452682e-06,17.2
uniform,tournament,2_parent_average,uniform,convergence,spherical,0.006508986859672658,0.014418067043909383,0.11674007331776956,5.912102773712096e-09,17.03
uniform,tournament,two_point,uniform,generations,spherical,0.006939913589597626,0.007571931906158704,0.03280240398139718,9.382574926156964e-06,30.0
gaussian,tournament,binary_mask,gaussian,convergence,spherical,0.008162905725601273,0.0094147244048259,0.0436418815358375,1.4904071809935817e-05,17.0
uniform,rws,binary_mask,uniform,generations,spherical,0.008630206802495023,0.011602755685265781,0.06966155658388276,1.549363107922887e-06,30.0
uniform,rws,centroid,gaussian,convergence,spherical,0.008650764154691975,0.0220842713708694,0.15959564422655503,2.191729092080124e-07,17.42
uniform,rws,two_point,uniform,generations,spherical,0.008933352691947751,0.015031983170499358,0.08793983024817004,2.191843095693951e-05,30.0
gaussian,rws,binary_mask,uniform,generations,spherical,0.00905137945058003,0.023142593818918266,0.22120034508063652,2.9694136609926e-06,30.0
gaussian,rws,two_point,gaussian,convergence,spherical,0.009322939299341738,0.01189242484181718,0.058288311564737495,1.961737644205524e-05,17.03
uniform,rws,2_parent_average,uniform,convergence,spherical,0.01024913215874689,0.03280133141322516,0.26566980460625306,5.194395091926985e-06,17.26
uniform,tournament,two_point,gaussian,convergence,spherical,0.010548375798550683,0.011671635483782626,0.06026343915929209,2.183830792242805e-05,17.96
uniform,tournament,centroid,uniform,convergence,spherical,0.010880402923453264,0.01808548828899213,0.13060531508165424,2.3229527106754363e-07,17.15
uniform,rws,centroid,uniform,convergence,spherical,0.011333092686262695,0.023993739741639826,0.14382705036710175,1.496061267659107e-06,17.29
gaussian,rws,binary_mask,gaussian,convergence,spherical,0.012344971044499376,0.016117843879500476,0.09453552426542153,5.265045753181132e-05,17.03
gaussian,tournament,two_point,gaussian,convergence,spherical,0.012552553414674485,0.017161624496441426,0.09221853362583333,2.1595199774218306e-05,17.01
gaussian,tournament,binary_mask,uniform,convergence,spherical,0.013552791559870039,0.017065874999610323,0.08700811577625805,5.307070015883689e-05,17.0
uniform,tournament,binary_mask,gaussian,convergence,spherical,0.01486679385572173,0.018503121551174978,0.11423685068465979,7.654907402293224e-05,17.84
gaussian,tournament,two_point,uniform,convergence,spherical,0.015368773344866986,0.016899528150558084,0.09391237277123556,3.110689521613421e-05,17.0
uniform,rws,binary_mask,gaussian,convergence,spherical,0.018568058477862706,0.03349118151964992,0.26454952593535175,2.7483081756651285e-05,18.12
uniform,tournament,binary_mask,uniform,convergence,spherical,0.019007561109276837,0.02135723213867422,0.111319721734106,0.00011106301382264088,17.79
gaussian,rws,two_point,uniform,convergence,spherical,0.01995595838347613,0.02224544312917577,0.10593093913450942,6.151804076756843e-05,17.03
uniform,rws,two_point,gaussian,convergence,spherical,0.02008402516067632,0.025694165476489426,0.1622839982276101,0.0001442879142343706,18.21
uniform,tournament,two_point,uniform,convergence,spherical,0.021397892861007656,0.031159974864508427,0.17597147844943803,3.956953501716227e-05,17.75
gaussian,rws,binary_mask,uniform,convergence,spherical,0.021498136134985732,0.026636909878999904,0.13594151432535814,0.00024441104800246907,17.03
gaussian,tournament,2_parent_average,gaussian,generations,booth,0.022154903743353382,0.04941748792406565,0.40844777786438685,6.1949006126184855e-06,30.0
uniform,rws,two_point,uniform,convergence,spherical,0.02542685869452972,0.032077743918934504,0.1751787917116815,1.755105235409388e-05,17.79
gaussian,rws,2_parent_average,uniform,generations,booth,0.025531304799910736,0.05666162545865442,0.36744393533366243,5.793123852294532e-06,30.0
uniform,rws,binary_mask,uniform,convergence,spherical,0.030659476722212323,0.046497141405164755,0.35177230945358057,0.00012338998879016694,18.13
gaussian,rws,2_parent_average,gaussian,convergence,booth,0.030770086369375463,0.05880322474446285,0.3648471031945701,4.7397262961923705e-07,18.21
gaussian,rws,2_parent_average,uniform,convergence,booth,0.031160811040514904,0.0572310408142406,0.301669742931393,1.1669594712678177e-06,17.3
gaussian,tournament,centroid,swap,convergence,spherical,0.032531286971209813,0.09532710620490552,0.671341416096688,2.1204544677824527e-11,21.85
gaussian,tournament,centroid,gaussian,generations,booth,0.03384844488604998,0.08246599623093202,0.546995552996965,7.810464943113582e-06,30.0
gaussian,rws,centroid,swap,convergence,spherical,0.0353729814297099,0.12587044385555046,0.9256119262150793,2.1492636499890612e-10,26.7
gaussian,rws,centroid,swap,generations,spherical,0.036503203226754266,0.08415261172799818,0.44149897280869677,3.1050674136089252e-12,30.0
uniform,rws,2_parent_average,uniform,generations,booth,0.03746521443058972,0.10090688198157645,0.8980206365208186,1.2002184118024201e-07,30.0
gaussian,rws,2_parent_average,swap,generations,spherical,0.043867405614888104,0.13858706070872756,1.1444518990390855,1.765846122050685e-12,30.0
gaussian,rws,binary_mask,gaussian,generations,booth,0.04408593307204501,0.05573501188966096,0.2605685792200697,0.00044760202722020684,30.0
gaussian,rws,two_point,gaussian,generations,booth,0.04412116737226915,0.05484881021685107,0.28176933407521204,6.806281033735586e-05,30.0
gaussian,tournament,2_parent_average,swap,convergence,spherical,0.045510429170028906,0.1154339039798181,0.7277949084940825,2.3028965004601167e-10,26.7
uniform,tournament,2_parent_average,gaussian,generations,booth,0.04587052752325325,0.09581516614836304,0.5352917666153941,2.2007277782438768e-07,30.0
gaussian,tournament,binary_mask,gaussian,generations,booth,0.04630399431063168,0.05693684584432822,0.2934133753429056,2.297369870138051e-05,30.0
uniform,rws,2_parent_average,gaussian,generations,himmelblau,0.047074345741316505,0.07318615357134366,0.49888279187367324,2.1073594808376808e-06,30.0
gaussian,rws,2_parent_average,gaussian,generations,booth,0.04726291020933372,0.12270099944697757,0.7485804416122169,7.332020712140045e-08,30.0
gaussian,rws,centroid,gaussian,generations,booth,0.05074932856810336,0.1358409076732215,1.0454483670798942,9.820456434044578e-07,30.0
gaussian,tournament,centroid,gaussian,convergence,booth,0.0529329690643118,0.09005845380131106,0.43788917765111735,1.7401388309989107e-06,17.87
uniform,rws,2_parent_average,gaussian,convergence,booth,0.053489209708860334,0.08956326826161762,0.4584952280486459,9.847778071841432e-07,19.61
gaussian,rws,centroid,uniform,convergence,booth,0.05396334716632592,0.08312366859199477,0.3818107029456331,3.804699534536818e-09,18.16
